time,portPktIn,portPktOut,qSize,label
0,134863.0,134863.0,0,2
1,9884.0,9884.0,0,2
2,733488.0,733488.0,0,2
3,174981.0,174981.0,0,2
4,0.0,0.0,0,2
5,0.0,0.0,0,2
6,0.0,0.0,0,2
7,0.0,0.0,0,2
8,151256.0,151256.0,0,2
9,1265992.0,1250452.0,15540,2
10,1249416.0,1249416.0,15540,2
11,1230768.0,1235948.0,10360,2
12,1262884.0,1249416.0,23828,2
13,1238975.0,1249335.0,13468,2
14,1241128.0,1241128.0,13468,2
15,1201549.0,1215017.0,0,2
16,1251488.0,1242164.0,9324,2
17,1245618.0,1242510.0,12432,2
18,1251488.0,1249416.0,14504,2
19,1244576.0,1248720.0,10360,2
20,1251488.0,1249416.0,12432,2
21,1170962.0,1183394.0,0,2
22,600880.0,600880.0,0,2
23,706552.0,706552.0,0,2
24,1112842.0,1111806.0,1036,2
25,186372.0,187408.0,0,2
26,0.0,0.0,0,2
27,0.0,0.0,0,2
28,0.0,0.0,0,2
29,0.0,0.0,0,2
30,0.0,0.0,0,2
31,0.0,0.0,0,2
32,69462.0,69462.0,0,2
33,0.0,0.0,0,2
34,1046360.0,1046360.0,0,2
35,608615.0,608615.0,0,2
36,0.0,0.0,0,2
37,0.0,0.0,0,2
38,20814.0,20814.0,0,2
39,0.0,0.0,0,2
40,29578.0,29578.0,0,2
41,22284.0,22284.0,0,2
42,0.0,0.0,0,2
43,0.0,0.0,0,2
44,960372.0,960372.0,0,2
45,1249416.0,1249416.0,0,2
46,1249416.0,1249416.0,0,2
47,1249746.0,1249746.0,0,2
48,1156525.0,1156525.0,0,2
49,1150713.0,1139317.0,11396,2
50,1252150.0,1249042.0,14504,2
51,1221444.0,1225588.0,10360,2
52,1224552.0,1221444.0,13468,2
53,1227660.0,1231804.0,9324,2
54,1243817.0,1226205.0,26936,2
55,1242164.0,1250452.0,18648,2
56,1275316.0,1249416.0,44548,2
57,1226466.0,1249258.0,21756,2
58,1240845.0,1250169.0,12432,2
59,1246983.0,1249055.0,10360,2
60,1190495.0,1199819.0,1036,2
61,1249416.0,1247344.0,3108,2
62,1279155.0,1249111.0,33152,2
63,1239672.0,1250032.0,22792,2
64,1234912.0,1238020.0,19684,2
65,1185599.0,1205283.0,0,2
66,1049468.0,1048432.0,1036,2
67,1255632.0,1244236.0,12432,2
68,1271958.0,1250202.0,34188,2
69,1242544.0,1242544.0,34188,2
70,1239298.0,1249658.0,23828,2
71,1141571.0,1164363.0,1036,2
72,1257704.0,1244236.0,14504,2
73,1269490.0,1250452.0,33542,2
74,1216831.0,1242085.0,8288,2
75,1089369.0,1096621.0,1036,2
76,786324.0,787360.0,0,2
77,1028586.0,1028586.0,0,2
78,1188292.0,1161356.0,26936,2
79,1259586.0,1249226.0,37296,2
80,1240703.0,1250027.0,27972,2
81,1256448.0,1250232.0,34188,2
82,1267607.0,1243779.0,58016,2
83,1017544.0,1075560.0,0,2
84,1173788.0,1158248.0,15540,2
85,1132879.0,1148419.0,0,2
86,1260812.0,1245272.0,15540,2
87,1135167.0,1150707.0,0,2
88,1137806.0,1137806.0,0,2
89,1280600.0,1236984.0,43616,2
90,1231804.0,1249520.0,25900,2
91,1246308.0,1250452.0,21756,2
92,1244236.0,1249416.0,16576,2
93,1226372.0,1233624.0,9324,2
94,1258740.0,1249416.0,18648,2
95,1260812.0,1250452.0,29008,2
