time,portPktIn,portPktOut,qSize,label
0,487956.0,487956.0,0,2
1,1062451.0,1062451.0,0,2
2,1250452.0,1250452.0,0,2
3,1249416.0,1249416.0,0,2
4,906454.0,906454.0,0,2
5,0.0,0.0,0,2
6,82502.0,82502.0,0,2
7,17376.0,17376.0,0,2
8,483812.0,483812.0,0,2
9,1264535.0,1250031.0,14504,2
10,1223654.0,1224690.0,13468,2
11,1261848.0,1249416.0,25900,2
12,1245272.0,1250452.0,20720,2
13,1227660.0,1230768.0,17612,2
14,1204868.0,1221444.0,1036,2
15,1296036.0,1249416.0,47656,2
16,1234552.0,1250092.0,32116,2
17,1230443.0,1249091.0,13468,2
18,1251488.0,1250452.0,14504,2
19,1229257.0,1233401.0,10360,2
20,1265112.0,1249572.0,25900,2
21,1262841.0,1249373.0,39368,2
22,1224703.0,1250603.0,13468,2
23,1201824.0,1176960.0,38332,2
24,1208388.0,1232216.0,14504,2
25,1245272.0,1250452.0,9324,2
26,1273244.0,1249416.0,33152,2
27,1253560.0,1249416.0,37296,2
28,1209015.0,1246311.0,0,2
29,1293964.0,1226624.0,67340,2
30,1221534.0,1249506.0,39368,2
31,1222769.0,1249705.0,12432,2
32,1236332.0,1245656.0,3108,2
33,1296036.0,1250452.0,48692,2
34,1122299.0,1170991.0,0,2
35,1241581.0,1234329.0,7252,2
36,1164012.0,1160904.0,10360,2
37,1264956.0,1249416.0,25900,2
38,1248380.0,1249416.0,24864,2
39,1238020.0,1232840.0,30044,2
40,956088.0,986132.0,0,2
41,991452.0,991452.0,0,2
42,1090972.0,1090972.0,0,2
43,810621.0,810621.0,0,2
44,871180.0,871180.0,0,2
45,1090908.0,1077440.0,13468,2
46,1116072.0,1118144.0,11396,2
47,1265992.0,1250452.0,26936,2
48,1202246.0,1218822.0,10360,2
49,1245183.0,1240003.0,15540,2
50,1234912.0,1249416.0,1036,2
51,1267028.0,1249416.0,18648,2
52,1261848.0,1247344.0,33152,2
53,861514.0,894666.0,0,2
54,580815.0,580815.0,0,2
55,492100.0,492100.0,0,2
56,793576.0,784252.0,9324,2
57,1247344.0,1249416.0,7252,2
58,1266408.0,1249832.0,23828,2
59,1208862.0,1229582.0,3108,2
60,1242164.0,1234912.0,10360,2
61,1242164.0,1243200.0,9324,2
62,1243829.0,1230942.0,22211,2
63,1132188.0,1154399.0,0,2
64,857808.0,857808.0,0,2
65,966588.0,966588.0,0,2
66,1080548.0,1080548.0,0,2
67,697207.0,697207.0,0,2
68,44465.0,44465.0,0,2
69,890277.0,890277.0,0,2
70,796542.0,796542.0,0,2
71,530.0,530.0,0,2
72,0.0,0.0,0,2
73,237107.0,237107.0,0,2
74,1250247.0,1250247.0,0,2
75,51463.0,51463.0,0,2
76,32555.0,32555.0,0,2
77,21000.0,21000.0,0,2
78,753172.0,753172.0,0,2
79,1254897.0,1249717.0,5180,2
80,126881.0,132061.0,0,2
81,683485.0,678305.0,5180,2
82,748281.0,753461.0,0,2
83,0.0,0.0,0,2
84,44204.0,44204.0,0,2
85,702408.0,702408.0,0,2
86,212015.0,212015.0,0,2
87,21562.0,21562.0,0,2
88,1203892.0,1203892.0,0,2
89,0.0,0.0,0,2
90,0.0,0.0,0,2
91,0.0,0.0,0,2
92,0.0,0.0,0,2
93,4618.0,4618.0,0,2
94,0.0,0.0,0,2
95,0.0,0.0,0,2
96,0.0,0.0,0,2
97,787360.0,787360.0,0,2
98,526311.0,526311.0,0,2
99,232064.0,232064.0,0,2
100,1250452.0,1250452.0,0,2
101,468761.0,468761.0,0,2
102,0.0,0.0,0,2
103,0.0,0.0,0,2
104,673400.0,673400.0,0,2
